"message","intent"
"Follow up with John on invoice","reminder"
"Follow up with Amit on marketing plan","reminder"
"Don't miss the UI update submission","reminder"
"Remember our plan for Monday","reminder"
"Be sure to complete signup bug soon","reminder"
"Don't miss the invoice submission","reminder"
"Remind the team about signup bug","reminder"
"Remind the team about dashboard","reminder"
"Be sure to complete database migration soon","reminder"
"Remind the team about invoice","reminder"
"Please don’t forget the report update","reminder"
"Remember our plan for Thursday","reminder"
"Remember our plan for tomorrow","reminder"
"Ping me when marketing plan is done","reminder"
"Please don’t forget the UI update update","reminder"
"Just a reminder to marketing plan by Friday","reminder"
"Make sure you invoice tomorrow","reminder"
"Ping me when signup bug is done","reminder"
"Remember our plan for Thursday","reminder"
"Remember our plan for Thursday","reminder"
"Please don’t forget the invoice update","reminder"
"Follow up with Alex on database migration","reminder"
"Remember our plan for Monday","reminder"
"Remember our plan for tomorrow","reminder"
"Please don’t forget the dashboard update","reminder"
"Make sure you report tomorrow","reminder"
"Just a reminder to API integration by Monday","reminder"
"Please don’t forget the UI update update","reminder"
"Set a reminder for dashboard","reminder"
"Don't miss the database migration submission","reminder"
"Ping me when invoice is done","reminder"
"Be sure to complete testing script soon","reminder"
"Ping me when dashboard is done","reminder"
"Just a reminder to dashboard by Monday","reminder"
"Please don’t forget the marketing plan update","reminder"
"Remember our plan for Thursday","reminder"
"Remember our plan for Wednesday","reminder"
"Just a reminder to dashboard by tomorrow","reminder"
"Follow up with Sara on API integration","reminder"
"Make sure you invoice tomorrow","reminder"
"Just a reminder to database migration by today","reminder"
"Be sure to complete testing script soon","reminder"
"Be sure to complete testing script soon","reminder"
"What do you think, John?","no_event"
"How does everyone feel about this?","no_event"
"Thanks for sharing this","no_event"
"Can you explain the last point?","no_event"
"What do you think, Sara?","no_event"
"How does everyone feel about this?","no_event"
"How does everyone feel about this?","no_event"
"I’ll check that out","no_event"
"Thanks for sharing this","no_event"
"What do you think, Amit?","no_event"
"I’ll check that out","no_event"
"Thanks for sharing this","no_event"
"Can you explain the last point?","no_event"
"Great progress everyone!","no_event"
"How does everyone feel about this?","no_event"
"That's interesting, tell me more","no_event"
"How does everyone feel about this?","no_event"
"Great progress everyone!","no_event"
"Thanks for sharing this","no_event"
"That's interesting, tell me more","no_event"
"I agree with that idea","no_event"
"That's interesting, tell me more","no_event"
"Yes, that's correct","no_event"
"How does everyone feel about this?","no_event"
"Can you explain the last point?","no_event"
"Thanks for sharing this","no_event"
"I agree with that idea","no_event"
"How does everyone feel about this?","no_event"
"Thanks for sharing this","no_event"
"Great progress everyone!","no_event"
"How does everyone feel about this?","no_event"
"Let’s discuss that change","no_event"
"That's interesting, tell me more","no_event"
"I agree with that idea","no_event"
"Yes, that's correct","no_event"
"I agree with that idea","no_event"
"Great progress everyone!","no_event"
"Great progress everyone!","no_event"
"Can you explain the last point?","no_event"
"How does everyone feel about this?","no_event"
"Thanks for sharing this","no_event"
"What do you think, Maya?","no_event"
"What do you think, John?","no_event"
"What do you think, John?","no_event"
"Thanks for sharing this","no_event"
"I’ll check that out","no_event"
"How does everyone feel about this?","no_event"
"Let’s discuss that change","no_event"
"Yes, that's correct","no_event"
"Great progress everyone!","no_event"
"Thanks for sharing this","no_event"
"Can you explain the last point?","no_event"
"Thanks for sharing this","no_event"
"Let’s discuss that change","no_event"
"Can you explain the last point?","no_event"
"Yes, that's correct","no_event"
"Can you explain the last point?","no_event"
"What do you think, Sam?","no_event"
"I’ll check that out","no_event"
"I’ll check that out","no_event"
"Let’s discuss that change","no_event"
"Thanks for sharing this","no_event"
"I’ll check that out","no_event"
"I’ll check that out","no_event"
"I agree with that idea","no_event"
"Can you explain the last point?","no_event"
"Yes, that's correct","no_event"
"Let’s discuss that change","no_event"
"Great progress everyone!","no_event"
"What do you think, Priya?","no_event"
"I’ll check that out","no_event"
"Let’s discuss that change","no_event"
"Can you explain the last point?","no_event"
"Can you explain the last point?","no_event"
"Yes, that's correct","no_event"
"I’ll check that out","no_event"
"I agree with that idea","no_event"
"Can you explain the last point?","no_event"
"Great progress everyone!","no_event"
"Yes, that's correct","no_event"
"Thanks for sharing this","no_event"
"I’ll check that out","no_event"
"What do you think, Maya?","no_event"
"Thanks for sharing this","no_event"
"What do you think, John?","no_event"
"I’ll check that out","no_event"
"How does everyone feel about this?","no_event"
"Let’s discuss that change","no_event"
"Yes, that's correct","no_event"
"Can you explain the last point?","no_event"
"That's interesting, tell me more","no_event"
"Yes, that's correct","no_event"
"What do you think, Alex?","no_event"
"I agree with that idea","no_event"
"How does everyone feel about this?","no_event"
"Yes, that's correct","no_event"
"Let’s discuss that change","no_event"
"Can you explain the last point?","no_event"
"Let’s discuss that change","no_event"
"Thanks for sharing this","no_event"
"I’ll check that out","no_event"
"How does everyone feel about this?","no_event"
"I agree with that idea","no_event"
"I’ll check that out","no_event"
"What do you think, Maya?","no_event"
"I agree with that idea","no_event"
"What do you think, Priya?","no_event"
"Great progress everyone!","no_event"
"Can you explain the last point?","no_event"
"I agree with that idea","no_event"
"Yes, that's correct","no_event"
"Thanks for sharing this","no_event"
"Let’s discuss that change","no_event"
"Thanks for sharing this","no_event"
"Great progress everyone!","no_event"
"How does everyone feel about this?","no_event"
"How does everyone feel about this?","no_event"
"Let’s discuss that change","no_event"
"Can you explain the last point?","no_event"
"Yes, that's correct","no_event"
"I’ll check that out","no_event"
"Let’s discuss that change","no_event"
"Yes, that's correct","no_event"
"I’ll check that out","no_event"
"Thanks for sharing this","no_event"
"Can you explain the last point?","no_event"
"Let’s discuss that change","no_event"
"That's interesting, tell me more","no_event"
"What do you think, Priya?","no_event"
"That's interesting, tell me more","no_event"
"Thanks for sharing this","no_event"
"Let’s discuss that change","no_event"
"Let’s discuss that change","no_event"
"What do you think, John?","no_event"
"Let’s discuss that change","no_event"
"That's interesting, tell me more","no_event"
"I agree with that idea","no_event"
"I agree with that idea","no_event"
"Great progress everyone!","no_event"
"I’ll check that out","no_event"
"I agree with that idea","no_event"
"That's interesting, tell me more","no_event"
"How does everyone feel about this?","no_event"
"What do you think, Sara?","no_event"
"Thanks for sharing this","no_event"
"Great progress everyone!","no_event"
"How does everyone feel about this?","no_event"
"That's interesting, tell me more","no_event"
"Can you explain the last point?","no_event"
"Great progress everyone!","no_event"
"Yes, that's correct","no_event"
"How does everyone feel about this?","no_event"
"Can you explain the last point?","no_event"
"Thanks for sharing this","no_event"
"Thanks for sharing this","no_event"
"Yes, that's correct","no_event"
"Thanks for sharing this","no_event"
"I agree with that idea","no_event"
"That's interesting, tell me more","no_event"
"What do you think, Amit?","no_event"
"Let’s discuss that change","no_event"
"I’ll check that out","no_event"
"That's interesting, tell me more","no_event"
"Great progress everyone!","no_event"
"Great progress everyone!","no_event"
"Thanks for sharing this","no_event"
"What do you think, Sam?","no_event"
"Yes, that's correct","no_event"
"That's interesting, tell me more","no_event"
"Yes, that's correct","no_event"
"Yes, that's correct","no_event"
"Thanks for sharing this","no_event"
"Let’s discuss that change","no_event"
"Great progress everyone!","no_event"
"That's interesting, tell me more","no_event"
"Let’s discuss that change","no_event"
"Yes, that's correct","no_event"
"That's interesting, tell me more","no_event"
"Great progress everyone!","no_event"
"Thanks for sharing this","no_event"
"Thanks for sharing this","no_event"
"Great progress everyone!","no_event"
"Yes, that's correct","no_event"
"I’ll check that out","no_event"
"What do you think, Sara?","no_event"
"Can you explain the last point?","no_event"
"Yes, that's correct","no_event"
"How does everyone feel about this?","no_event"
"How does everyone feel about this?","no_event"
"I’ll check that out","no_event"
"Great progress everyone!","no_event"
"I agree with that idea","no_event"
"Yes, that's correct","no_event"
"Let’s discuss that change","no_event"
"How does everyone feel about this?","no_event"
"I agree with that idea","no_event"
"Can you explain the last point?","no_event"
"What do you think, Alex?","no_event"
"How does everyone feel about this?","no_event"
"Yes, that's correct","no_event"
"Thanks for sharing this","no_event"
"What do you think, Maya?","no_event"
"Can you explain the last point?","no_event"
"What do you think, Priya?","no_event"
"How does everyone feel about this?","no_event"
"Thanks for sharing this","no_event"
"I agree with that idea","no_event"
"I’ll check that out","no_event"
"Yes, that's correct","no_event"
"Let’s discuss that change","no_event"
"I’ll check that out","no_event"
"I agree with that idea","no_event"
"How does everyone feel about this?","no_event"
"How does everyone feel about this?","no_event"
"I’ll check that out","no_event"
"What do you think, Maya?","no_event"
"What do you think, Alex?","no_event"
"Yes, that's correct","no_event"
"Thanks for sharing this","no_event"
"Let’s discuss that change","no_event"
"I agree with that idea","no_event"
"That's interesting, tell me more","no_event"
"That's interesting, tell me more","no_event"
"Great progress everyone!","no_event"
"Can you explain the last point?","no_event"
"Yes, that's correct","no_event"
"That's interesting, tell me more","no_event"
"How does everyone feel about this?","no_event"
"What do you think, John?","no_event"
"Let’s discuss that change","no_event"
"Let’s discuss that change","no_event"
"Thanks for sharing this","no_event"
"That's interesting, tell me more","no_event"
"Yes, that's correct","no_event"
"Great progress everyone!","no_event"
"I’ll check that out","no_event"
"Let’s discuss that change","no_event"
"Let’s discuss that change","no_event"
"Great progress everyone!","no_event"
"What do you think, Sam?","no_event"
"That's interesting, tell me more","no_event"
"Great progress everyone!","no_event"
"Can you explain the last point?","no_event"
"I agree with that idea","no_event"
"Let’s discuss that change","no_event"
"Great progress everyone!","no_event"
"I’ll check that out","no_event"
"What do you think, Riya?","no_event"
"I’ll check that out","no_event"
"Thanks for sharing this","no_event"
